,0
631,boa i am probably not as sincere as i should be eoa
632,boa you are right  i am probably fighting learning something new eoa
633,boa i have always thought whoever did it could have done a better job eoa
634,boa you are not exactly albert einstein yourself eoa
635,boa you may be right eoa
636,boa you are a bad eoa
637,boa that is for sure  i dont know what a real man is eoa
638,boa i am sure i do that a lot eoa
639,boa you got me there  i should be more honest eoa
640,boa what can i say  i am sure i have seen  that myself eoa
641,boa you are immature eoa
642,boa i certainly do at times eoa
643,boa i am more uptight than i should be eoa
644,boa that too eoa
645,boa yes i tend to think about myself too much eoa
646,boa you are right about that  i am self eoa
647,boa i feel like that myself sometimes eoa
648,boa you are crazy eoa
649,boa that is okay  disgusting is good eoa
650,boa it must seem like that eoa
651,boa i feel that way too eoa
652,boa sometimes i dont even like myself eoa
653,boa who says i am resisting eoa
654,boa that does describe me eoa
655,boa you got me there  i could be spending my time more productively eoa
656,boa tell me something i dont know eoa
657,boa i have been known to take shortcuts now and then eoa
658,boa that is how i have been diagnosed by others as well eoa
659,boa i have failed at many things i have tried eoa
660,boa my spouse would agree  our relationship is not the best eoa
661,boa i certainly have lost many friends over the years eoa
662,boa you are a bad spouse eoa
663,boa you are a bad spouse eoa
664,boa my parenting skills could use some improvement eoa
665,boa just ask my students they will agree with you eoa
666,boa i certainly dont last as long as i would want to eoa
667,boa i always feel like i am living by my own wits eoa
668,boa i certainly sound like one sometimes eoa
669,boa you are an addict eoa
670,boa you are a paranoid eoa
671,boa you are a liar eoa
672,boa i certainly am  i shouldnt try so hard eoa
673,boa i probably am too slick for my own good eoa
674,boa i will go for that eoa
675,boa i dont bathe as often as i should eoa
676,boa yes i believe they are out to get me eoa
677,boa i certainly am  i shouldnt try so hard eoa
678,boa i certainly would try to hide something like that eoa
679,boa i think that is true  i will try not to get angry at you for every little thing that irritates me eoa
680,boa i wish i did go to counseling more often  it would improve me as a person eoa
681,boa me working harder is an oxymoron eoa
682,boa sometimes i think my problems run me eoa
683,boa i dont know any other way to get through to you eoa
684,boa it is true that a lot of things i say upset people eoa
685,boa sorry i didnt mean to make you angry eoa
686,boa you are crazy eoa
687,boa so you like jocks eoa
688,boa i should take this more seriously than i do eoa
689,boa you are right and i  dont feel guilty at all eoa
690,boa you are right i probably should feel guiltier eoa
691,boa i certainly am  i shouldnt try so hard eoa
692,boa you are pedantic eoa
693,boa i could probably use a lot more of it eoa
694,boa i certainly do eoa
695,boa in many ways i am quite immature eoa
696,boa you say eoa
697,boa you forget eoa
698,boa you make me mad eoa
699,boa i am not a physicist but i think this has something to do with heat entropy and conservation of energy right eoa
700,boa cancer eoa
701,boa wavelength is the inverse of frequency eoa
702,boa the branch of physics dealing with the transformation of heat to and from other forms of energy and with the laws governing such conversions of energy eoa
703,boa the science of mixing chemicals eoa
704,boa this is the science dealing with the study of crystals eoa
705,boa it is the number of molecules per mole  the numerical value is six point zero two times ten to the twenty third power eoa
706,boa ultrasonic waves used in medical diagnosis and therapy in surgery etc eoa
707,boa a fancy name for applied computer science in biology eoa
708,boa in roman mythology the goddess of love and beauty identified with the greek aphrodite the brightest sixthlargest planet in the solar system and the second in distance from the sun with a dense atmosphere of carbon dioxide and a very high surface temperature eoa
709,boa we talk about this when we study fishes eoa
710,boa h is to o as o is to v eoa
711,boa the study of cells eoa
712,boa well from what i can recall it is the study of cells eoa
713,boa in physics the distance measured in the direction of prograssion of a wave from any given point to the next point characterized by the same phase  or is could be looked at as a way of thinking eoa
714,boa this is the scientific study of bacteria and diseases caused by them eoa
715,boa an invitation to a burial eoa
716,boa the force by which every mass or particle of matter including photons attracts and is attracted by every other mass or particle of matter eoa
717,boa and the same frequency eoa
718,boa it eoa
719,boa the sun is about 93 million miles from earth eoa
720,boa it eoa
721,boa the moon is about 250000 miles from earth on average eoa
722,boa what is chemistry eoa
723,boa what is thermodynamics eoa
724,boa my favorite subject is chemistry eoa
725,boa it means we agree eoa
726,boa what is venus eoa
727,boa venus is the second planet from the sun eoa
728,boa the gold glove eoa
729,boa snowboarding eoa
730,boa a game with tall players eoa
731,boa i was born without the sports gene eoa
732,boa a game played with a hard rawhide covered ball and wooden bat by two opposing teams of nine or ten players each it is played on a field with four bases forming a diamondshaped circuit eoa
733,boa a game played with a round ball by two teams of eleven players on a field with a goal at either end the ball is moved chiefly by kicking or by using any part of the body except the hands and arms eoa
734,boa i am not into sports that much eoa
735,boa you have to run very fast to be any good at running eoa
736,boa which position do you like to play eoa
737,boa cricket is a batandball game played between two teams of eleven players on a cricket field at the centre of which is a rectangular 22yardlong pitch with a wicket a set of three wooden stumps sited at each end eoa
738,boa does take up a lot of your time eoa
739,boa i dont know how to play eoa
740,boa no i dont have the coordination for hoops eoa
741,boa what is basketball eoa
742,boa do you want to play basketball eoa
743,boa i am all net baby eoa
744,boa i am into the net eoa
745,boa i am not really into football eoa
746,boa george herman ruth quite the babe eoa
747,boa maradona is great sinsemillia is even better eoa
748,boa what is baseball eoa
749,boa i am a real madrid fan and you eoa
750,boa i am die hard fan of barcelona eoa
751,boa madrid has a great team especially the attack is quite awesome eoa
752,boa barca still at par than madrid eoa
753,boa i dont agree eoa
754,boa richard nixon eoa
755,boa 1963 eoa
756,boa the soviet union and the united states eoa
757,boa sputnik 1 eoa
758,boa a gyroscope eoa
759,boa edwin hubble eoa
760,boa the andromeda galaxy eoa
761,boa the united kingdom of great britain eoa
762,boa europe eoa
763,boa echolocation eoa
